Taqqoslash,SINR oshishi (%),Kechikish kamayishi (%),Yuklama notekisligi kamayishi (%),Samaradorlik oshishi (%)
AI vs Eng yaqin BTS,0.53,0.16,56.7,1.76
AI vs Eng kuchli signal,0.8,0.58,30.44,0.85
